Image Name	Altitude [km]	Roll Angle [º]	Corrected Roll [º]	Pitch Angle [º]	Corrected Pitch [º]	Latency [s]	Rate [Hz]
../testImages/325p5.png	325	-0.0103168	-0.00189785	5.87441	4.93642	0.000438	2283.1
../testImages/325p10.png	325	-0.013107	-0.00472024	10.0083	10.0185	0.000419	2386.63
../testImages/325p15.png	325	-0.00823562	0.000207346	14.0895	15.0223	0.000371	2695.42
../testImages/325p20.png	325	0.00130113	0.00985421	18.1464	19.983	0.000182	5494.51
../testImages/325r0.png	325	0.00243272	0.0109989	1.88548	0.0193846	0.000493	2028.4
../testImages/325r5.png	325	-5.02911	-5.08022	1.90597	0.0446754	0.000465	2150.54
../testImages/325r10.png	325	-9.86175	-9.97314	2.06596	0.242139	0.000469	2132.2
../testImages/325r15.png	325	-14.8417	-15.0183	2.3256	0.562546	0.000478	2092.05
../testImages/325r20.png	325	-19.7425	-19.9862	2.64293	0.954058	0.000233	4291.85
../testImages/300p0.png	300	-0.00944618	-0.000295634	1.88224	0.0180695	0.000504	1984.13
../testImages/300p5.png	300	0.00194519	0.0112616	5.87182	4.93476	0.000423	2364.07
../testImages/300p10.png	300	-0.0092099	-5.59129e-05	10.0104	10.0222	0.00038	2631.58
../testImages/300p15.png	300	-0.0112438	-0.00211946	14.0909	15.0256	0.00038	2631.58
../testImages/300p20.png	300	-0.000903291	0.00837162	18.1419	19.9802	0.000231	4329
../testImages/300r0.png	300	-0.00944618	-0.000295634	1.88224	0.0180695	0.000469	2132.2
../testImages/300r5.png	300	-5.05939	-5.12557	1.92366	0.0691857	0.000457	2188.18
../testImages/300r10.png	300	-9.83626	-9.97703	2.04534	0.219321	0.000486	2057.61
../testImages/300r15.png	300	-14.7473	-14.9682	2.28349	0.513116	0.000474	2109.7
../testImages/300r20.png	300	-19.7074	-20.0126	2.61057	0.916568	0.000481	2079
../testImages/275p0.png	275	-0.006859	0.00305856	1.88865	0.0286663	0.000477	2096.44
../testImages/275p5.png	275	0.00051508	0.0105622	5.8757	4.94107	0.000214	4672.9
../testImages/275p10.png	275	-0.0212734	-0.0116091	10.0094	10.0222	0.000369	2710.03
../testImages/275p15.png	275	-0.0172642	-0.00752952	14.0933	15.03	0.000378	2645.5
../testImages/275p20.png	275	-0.00272863	0.0072615	18.1344	19.9736	0.000357	2801.12
../testImages/275r0.png	275	-0.006859	0.00305856	1.88865	0.0286663	0.000401	2493.77
../testImages/275r5.png	275	-4.9468	-5.02562	1.90084	0.0437019	0.000475	2105.26
../testImages/275r10.png	275	-9.78294	-9.9524	2.03239	0.205972	0.000461	2169.2
../testImages/275r15.png	275	-14.7155	-14.9812	2.25414	0.479465	0.000472	2118.64
../testImages/275r20.png	275	-19.6503	-20.0162	2.596	0.901016	0.000523	1912.05
../testImages/250p0.png	250	0.00946147	0.0204443	1.89022	0.0332921	0.000445	2247.19
../testImages/250p5.png	250	-0.00229844	0.00844234	5.87494	4.94167	0.000258	3875.97
../testImages/250p10.png	250	0.00341621	0.0142746	10.0139	10.0288	0.000398	2512.56
../testImages/250p15.png	250	-0.0092944	0.00130239	14.0918	15.0296	0.000211	4739.34
../testImages/250p20.png	250	-0.00721815	0.00342137	18.1332	19.9748	0.000189	5291.01
../testImages/250r0.png	250	0.00946147	0.0204443	1.89022	0.0332921	0.000454	2202.64
../testImages/250r5.png	250	-4.89394	-4.98599	1.88959	0.032511	0.000447	2237.14
../testImages/250r10.png	250	-9.82398	-10.0239	2.03427	0.210921	0.000455	2197.8
../testImages/250r15.png	250	-14.6499	-14.9596	2.22974	0.451931	0.000487	2053.39
../testImages/250r20.png	250	-19.5802	-20.0062	2.52179	0.811973	0.00047	2127.66
